,date,home_team,away_team,home_score,away_score,tournament,delta_goal,win,lose
0,2019-01-02,Oman,Thailand,2,0,Friendly,2,1,0
1,2019-01-05,United Arab Emirates,Bahrain,1,1,AFC Asian Cup,0,0,1
2,2019-01-06,Thailand,India,1,4,AFC Asian Cup,-3,0,1
3,2019-01-06,Australia,Jordan,0,1,AFC Asian Cup,-1,0,1
5,2019-01-07,China PR,Kyrgyzstan,2,1,AFC Asian Cup,1,1,0
6,2019-01-07,South Korea,Philippines,1,0,AFC Asian Cup,1,1,0
7,2019-01-07,Iran,Yemen,5,0,AFC Asian Cup,5,1,0
8,2019-01-08,Finland,Sweden,1,0,Friendly,1,1,0
9,2019-01-08,Iraq,Vietnam,3,2,AFC Asian Cup,1,1,0
10,2019-01-08,Saudi Arabia,North Korea,4,0,AFC Asian Cup,4,1,0
11,2019-01-09,Qatar,Lebanon,2,0,AFC Asian Cup,2,1,0
12,2019-01-09,Japan,Turkmenistan,3,2,AFC Asian Cup,1,1,0
13,2019-01-09,Uzbekistan,Oman,2,1,AFC Asian Cup,1,1,0
14,2019-01-10,Bahrain,Thailand,0,1,AFC Asian Cup,-1,0,1
15,2019-01-10,Jordan,Syria,2,0,AFC Asian Cup,2,1,0
16,2019-01-10,United Arab Emirates,India,2,0,AFC Asian Cup,2,1,0
17,2019-01-11,Estonia,Finland,2,1,Friendly,1,1,0
18,2019-01-11,Iceland,Sweden,2,2,Friendly,0,0,1
19,2019-01-11,Palestine,Australia,0,3,AFC Asian Cup,-3,0,1
20,2019-01-11,Philippines,China PR,0,3,AFC Asian Cup,-3,0,1
21,2019-01-11,Kyrgyzstan,South Korea,0,1,AFC Asian Cup,-1,0,1
22,2019-01-12,Vietnam,Iran,0,2,AFC Asian Cup,-2,0,1
23,2019-01-12,Yemen,Iraq,0,3,AFC Asian Cup,-3,0,1
24,2019-01-12,Lebanon,Saudi Arabia,0,2,AFC Asian Cup,-2,0,1
25,2019-01-13,North Korea,Qatar,0,6,AFC Asian Cup,-6,0,1
26,2019-01-13,Oman,Japan,0,1,AFC Asian Cup,-1,0,1
27,2019-01-13,Turkmenistan,Uzbekistan,0,4,AFC Asian Cup,-4,0,1
28,2019-01-14,India,Bahrain,0,1,AFC Asian Cup,-1,0,1
29,2019-01-14,United Arab Emirates,Thailand,1,1,AFC Asian Cup,0,0,1
31,2019-01-15,Australia,Syria,3,2,AFC Asian Cup,1,1,0
33,2019-01-16,South Korea,China PR,2,0,AFC Asian Cup,2,1,0
34,2019-01-16,Kyrgyzstan,Philippines,3,1,AFC Asian Cup,2,1,0
36,2019-01-16,Vietnam,Yemen,2,0,AFC Asian Cup,2,1,0
37,2019-01-17,Lebanon,North Korea,4,1,AFC Asian Cup,3,1,0
38,2019-01-17,Saudi Arabia,Qatar,0,2,AFC Asian Cup,-2,0,1
39,2019-01-17,Japan,Uzbekistan,2,1,AFC Asian Cup,1,1,0
40,2019-01-17,Oman,Turkmenistan,3,1,AFC Asian Cup,2,1,0
41,2019-01-20,Iran,Oman,2,0,AFC Asian Cup,2,1,0
42,2019-01-20,Jordan,Vietnam,1,1,AFC Asian Cup,0,0,1
43,2019-01-20,Thailand,China PR,1,2,AFC Asian Cup,-1,0,1
45,2019-01-21,Japan,Saudi Arabia,1,0,AFC Asian Cup,1,1,0
46,2019-01-21,United Arab Emirates,Kyrgyzstan,3,2,AFC Asian Cup,1,1,0
47,2019-01-22,South Korea,Bahrain,2,1,AFC Asian Cup,1,1,0
48,2019-01-22,Qatar,Iraq,1,0,AFC Asian Cup,1,1,0
49,2019-01-24,China PR,Iran,0,3,AFC Asian Cup,-3,0,1
50,2019-01-24,Vietnam,Japan,0,1,AFC Asian Cup,-1,0,1
51,2019-01-25,South Korea,Qatar,0,1,AFC Asian Cup,-1,0,1
52,2019-01-25,United Arab Emirates,Australia,1,0,AFC Asian Cup,1,1,0
53,2019-01-27,United States,Panama,3,0,Friendly,3,1,0
54,2019-01-28,Iran,Japan,0,3,AFC Asian Cup,-3,0,1
55,2019-01-29,United Arab Emirates,Qatar,0,4,AFC Asian Cup,-4,0,1
56,2019-02-01,Japan,Qatar,1,3,AFC Asian Cup,-2,0,1
57,2019-02-02,United States,Costa Rica,2,0,Friendly,2,1,0
58,2019-02-21,Kazakhstan,Moldova,1,0,Friendly,1,1,0
59,2019-02-27,Cuba,Bermuda,5,0,Friendly,5,1,0
60,2019-03-03,Bolivia,Nicaragua,2,2,Friendly,0,0,1
61,2019-03-04,Barbados,Grenada,3,0,Friendly,3,1,0
62,2019-03-06,El Salvador,Guatemala,3,1,Friendly,2,1,0
63,2019-03-09,Cambodia,Bangladesh,0,1,Friendly,-1,0,1
64,2019-03-16,Bahamas,Turks and Caicos Islands,6,1,Friendly,5,1,0
65,2019-03-18,Fiji,New Caledonia,3,0,Friendly,3,1,0
66,2019-03-18,Solomon Islands,Vanuatu,3,1,Friendly,2,1,0
68,2019-03-20,Germany,Serbia,1,1,Friendly,0,0,1
69,2019-03-20,Wales,Trinidad and Tobago,1,0,Friendly,1,1,0
70,2019-03-21,Kosovo,Denmark,2,2,Friendly,0,0,1
72,2019-03-21,Mauritius,New Caledonia,3,1,Friendly,2,1,0
73,2019-03-21,United Arab Emirates,Saudi Arabia,2,1,Friendly,1,1,0
74,2019-03-21,United States,Ecuador,1,0,Friendly,1,1,0
75,2019-03-21,Northern Ireland,Estonia,2,0,UEFA Euro qualification,2,1,0
76,2019-03-21,Netherlands,Belarus,4,0,UEFA Euro qualification,4,1,0
77,2019-03-21,Croatia,Azerbaijan,2,1,UEFA Euro qualification,1,1,0
78,2019-03-21,Slovakia,Hungary,2,0,UEFA Euro qualification,2,1,0
79,2019-03-21,Austria,Poland,0,1,UEFA Euro qualification,-1,0,1
80,2019-03-21,North Macedonia,Latvia,3,1,UEFA Euro qualification,2,1,0
81,2019-03-21,Israel,Slovenia,1,1,UEFA Euro qualification,0,0,1
82,2019-03-21,Cyprus,San Marino,5,0,UEFA Euro qualification,5,1,0
83,2019-03-21,Belgium,Russia,3,1,UEFA Euro qualification,2,1,0
84,2019-03-21,Kazakhstan,Scotland,3,0,UEFA Euro qualification,3,1,0
85,2019-03-22,Argentina,Venezuela,1,3,Friendly,-2,0,1
86,2019-03-22,Guatemala,Costa Rica,1,0,Friendly,1,1,0
87,2019-03-22,Japan,Colombia,0,1,Friendly,-1,0,1
88,2019-03-22,South Korea,Bolivia,1,0,Friendly,1,1,0
89,2019-03-22,Mexico,Chile,3,1,Friendly,2,1,0
90,2019-03-22,Peru,Paraguay,1,0,Friendly,1,1,0
91,2019-03-22,Bulgaria,Montenegro,1,1,UEFA Euro qualification,0,0,1
92,2019-03-22,England,Czech Republic,5,0,UEFA Euro qualification,5,1,0
94,2019-03-22,Luxembourg,Lithuania,2,1,UEFA Euro qualification,1,1,0
95,2019-03-22,Albania,Turkey,0,2,UEFA Euro qualification,-2,0,1
96,2019-03-22,Andorra,Iceland,0,2,UEFA Euro qualification,-2,0,1
97,2019-03-22,Moldova,France,1,4,UEFA Euro qualification,-3,0,1
98,2019-03-22,Botswana,Angola,0,1,African Cup of Nations qualification,-1,0,1
99,2019-03-23,Brazil,Panama,1,1,Friendly,0,0,1
100,2019-03-23,Malaysia,Afghanistan,2,1,Friendly,1,1,0
101,2019-03-23,Oman,Singapore,1,1,Friendly,0,0,1
102,2019-03-23,Georgia,Switzerland,0,2,UEFA Euro qualification,-2,0,1
103,2019-03-23,Gibraltar,Republic of Ireland,0,1,UEFA Euro qualification,-1,0,1
104,2019-03-23,Malta,Faroe Islands,2,1,UEFA Euro qualification,1,1,0
105,2019-03-23,Sweden,Romania,2,1,UEFA Euro qualification,1,1,0
106,2019-03-23,Spain,Norway,2,1,UEFA Euro qualification,1,1,0
107,2019-03-23,Bosnia and Herzegovina,Armenia,2,1,UEFA Euro qualification,1,1,0
108,2019-03-23,Italy,Finland,2,0,UEFA Euro qualification,2,1,0
109,2019-03-23,Liechtenstein,Greece,0,2,UEFA Euro qualification,-2,0,1
110,2019-03-23,Senegal,Madagascar,2,0,African Cup of Nations qualification,2,1,0
111,2019-03-23,Cameroon,Comoros,3,0,African Cup of Nations qualification,3,1,0
112,2019-03-23,Mali,South Sudan,3,0,African Cup of Nations qualification,3,1,0
113,2019-03-23,Ghana,Kenya,1,0,African Cup of Nations qualification,1,1,0
114,2019-03-23,Niger,Egypt,1,1,African Cup of Nations qualification,0,0,1
