,date,home_team,away_team,home_score,away_score,tournament,delta_goal,win,lose
115,2019-03-23,Zambia,Namibia,4,1,African Cup of Nations qualification,3,1,0
116,2019-03-24,Taiwan,Solomon Islands,0,1,Friendly,-1,0,1
117,2019-03-24,Fiji,Mauritius,1,0,Friendly,1,1,0
118,2019-03-24,Northern Ireland,Belarus,2,1,UEFA Euro qualification,1,1,0
119,2019-03-24,Netherlands,Germany,2,3,UEFA Euro qualification,-1,0,1
120,2019-03-24,Wales,Slovakia,1,0,UEFA Euro qualification,1,1,0
121,2019-03-24,Hungary,Croatia,2,1,UEFA Euro qualification,1,1,0
122,2019-03-24,Israel,Austria,4,2,UEFA Euro qualification,2,1,0
123,2019-03-24,Poland,Latvia,2,0,UEFA Euro qualification,2,1,0
124,2019-03-24,Slovenia,North Macedonia,1,1,UEFA Euro qualification,0,0,1
125,2019-03-24,San Marino,Scotland,0,2,UEFA Euro qualification,-2,0,1
126,2019-03-24,Kazakhstan,Russia,0,4,UEFA Euro qualification,-4,0,1
127,2019-03-24,Cyprus,Belgium,0,2,UEFA Euro qualification,-2,0,1
128,2019-03-24,Benin,Togo,2,1,African Cup of Nations qualification,1,1,0
129,2019-03-24,Libya,South Africa,1,2,African Cup of Nations qualification,-1,0,1
130,2019-03-24,Zimbabwe,Congo,2,0,African Cup of Nations qualification,2,1,0
132,2019-03-24,Tanzania,Uganda,3,0,African Cup of Nations qualification,3,1,0
133,2019-03-25,Catalonia,Venezuela,2,1,Friendly,1,1,0
135,2019-03-25,Kuwait,Nepal,1,0,Friendly,1,1,0
136,2019-03-25,Myanmar,Indonesia,0,2,Friendly,-2,0,1
137,2019-03-25,Saudi Arabia,Equatorial Guinea,3,2,Friendly,1,1,0
138,2019-03-25,Kosovo,Bulgaria,1,1,UEFA Euro qualification,0,0,1
139,2019-03-25,Montenegro,England,1,5,UEFA Euro qualification,-4,0,1
140,2019-03-25,Portugal,Serbia,1,1,UEFA Euro qualification,0,0,1
141,2019-03-25,Luxembourg,Ukraine,1,2,UEFA Euro qualification,-1,0,1
142,2019-03-25,Turkey,Moldova,4,0,UEFA Euro qualification,4,1,0
143,2019-03-25,Andorra,Albania,0,3,UEFA Euro qualification,-3,0,1
144,2019-03-25,France,Iceland,4,0,UEFA Euro qualification,4,1,0
145,2019-03-26,Algeria,Tunisia,1,0,Friendly,1,1,0
146,2019-03-26,Costa Rica,Jamaica,1,0,Friendly,1,1,0
147,2019-03-26,Czech Republic,Brazil,1,3,Friendly,-2,0,1
148,2019-03-26,Ghana,Mauritania,3,1,Friendly,2,1,0
149,2019-03-26,Gibraltar,Estonia,0,1,Friendly,-1,0,1
151,2019-03-26,Ivory Coast,Liberia,1,0,Friendly,1,1,0
152,2019-03-26,Japan,Bolivia,0,1,Friendly,-1,0,1
153,2019-03-26,South Korea,Colombia,2,1,Friendly,1,1,0
154,2019-03-26,Morocco,Argentina,0,1,Friendly,-1,0,1
155,2019-03-26,Nicaragua,Guatemala,0,1,Friendly,-1,0,1
156,2019-03-26,Nigeria,Egypt,1,0,Friendly,1,1,0
157,2019-03-26,Paraguay,Mexico,2,4,Friendly,-2,0,1
158,2019-03-26,Peru,El Salvador,0,2,Friendly,-2,0,1
159,2019-03-26,Senegal,Mali,2,1,Friendly,1,1,0
161,2019-03-26,United States,Chile,1,1,Friendly,0,0,1
162,2019-03-26,Republic of Ireland,Georgia,1,0,UEFA Euro qualification,1,1,0
163,2019-03-26,Switzerland,Denmark,3,3,UEFA Euro qualification,0,0,1
164,2019-03-26,Malta,Spain,0,2,UEFA Euro qualification,-2,0,1
165,2019-03-26,Norway,Sweden,3,3,UEFA Euro qualification,0,0,1
166,2019-03-26,Romania,Faroe Islands,4,1,UEFA Euro qualification,3,1,0
167,2019-03-26,Bosnia and Herzegovina,Greece,2,2,UEFA Euro qualification,0,0,1
168,2019-03-26,Italy,Liechtenstein,6,0,UEFA Euro qualification,6,1,0
169,2019-03-26,Armenia,Finland,0,2,UEFA Euro qualification,-2,0,1
170,2019-05-04,Yorkshire,Somaliland,6,2,Friendly,4,1,0
171,2019-05-25,Kernow,Barawa,5,0,Friendly,5,1,0
172,2019-05-25,Cascadia,Chagos Islands,6,3,Friendly,3,1,0
173,2019-05-28,Laos,Sri Lanka,2,1,Friendly,1,1,0
175,2019-05-30,Turkey,Greece,2,1,Friendly,1,1,0
176,2019-05-31,Laos,Sri Lanka,2,2,Friendly,0,0,1
177,2019-06-01,Venezuela,Ecuador,1,1,Friendly,0,0,1
178,2019-06-02,El Salvador,Haiti,1,0,Friendly,1,1,0
179,2019-06-02,France,Bolivia,2,0,Friendly,2,1,0
180,2019-06-02,Luxembourg,Madagascar,3,3,Friendly,0,0,1
181,2019-06-02,Malaysia,Nepal,2,0,Friendly,2,1,0
183,2019-06-03,Colombia,Panama,3,0,Friendly,3,1,0
184,2019-06-03,Vanuatu,Tahiti,2,0,Friendly,2,1,0
185,2019-06-05,Brazil,Qatar,2,0,Friendly,2,1,0
186,2019-06-05,Mexico,Venezuela,3,1,Friendly,2,1,0
187,2019-06-05,Paraguay,Honduras,1,1,Friendly,0,0,1
188,2019-06-05,Peru,Costa Rica,1,0,Friendly,1,1,0
189,2019-06-05,United States,Jamaica,0,1,Friendly,-1,0,1
190,2019-06-05,Portugal,Switzerland,3,1,UEFA Nations League,2,1,0
191,2019-06-06,Bermuda,Guyana,1,0,Friendly,1,1,0
192,2019-06-06,Chile,Haiti,2,1,Friendly,1,1,0
193,2019-06-06,Taiwan,Nepal,1,1,Friendly,0,0,1
194,2019-06-06,Iran,Syria,5,0,Friendly,5,1,0
195,2019-06-06,Slovakia,Jordan,5,1,Friendly,4,1,0
196,2019-06-06,Tajikistan,Afghanistan,1,1,Friendly,0,0,1
197,2019-06-06,England,Netherlands,1,3,UEFA Nations League,-2,0,1
198,2019-06-06,Bhutan,Guam,1,0,FIFA World Cup qualification,1,1,0
199,2019-06-06,Cambodia,Pakistan,2,0,FIFA World Cup qualification,2,1,0
200,2019-06-06,Laos,Bangladesh,0,1,FIFA World Cup qualification,-1,0,1
201,2019-06-06,Macau,Sri Lanka,1,0,FIFA World Cup qualification,1,1,0
202,2019-06-06,Mongolia,Brunei,2,0,FIFA World Cup qualification,2,1,0
203,2019-06-07,Czech Republic,Bulgaria,2,1,UEFA Euro qualification,1,1,0
204,2019-06-07,Montenegro,Kosovo,1,1,UEFA Euro qualification,0,0,1
205,2019-06-07,Lithuania,Luxembourg,1,1,UEFA Euro qualification,0,0,1
206,2019-06-07,Ukraine,Serbia,5,0,UEFA Euro qualification,5,1,0
207,2019-06-07,Georgia,Gibraltar,3,0,UEFA Euro qualification,3,1,0
208,2019-06-07,Denmark,Republic of Ireland,1,1,UEFA Euro qualification,0,0,1
209,2019-06-07,Faroe Islands,Spain,1,4,UEFA Euro qualification,-3,0,1
210,2019-06-07,Norway,Romania,2,2,UEFA Euro qualification,0,0,1
211,2019-06-07,Sweden,Malta,3,0,UEFA Euro qualification,3,1,0
212,2019-06-07,Austria,Slovenia,1,0,UEFA Euro qualification,1,1,0
213,2019-06-07,North Macedonia,Poland,0,1,UEFA Euro qualification,-1,0,1
214,2019-06-07,Latvia,Israel,0,3,UEFA Euro qualification,-3,0,1
215,2019-06-07,Argentina,Nicaragua,5,1,Friendly,4,1,0
216,2019-06-07,China PR,Philippines,2,0,Friendly,2,1,0
217,2019-06-07,Fiji,Tahiti,1,1,Friendly,0,0,1
218,2019-06-07,Ivory Coast,Comoros,3,1,Friendly,2,1,0
219,2019-06-07,Kenya,Madagascar,1,0,Friendly,1,1,0
220,2019-06-07,South Korea,Australia,1,0,Friendly,1,1,0
221,2019-06-07,Tunisia,Iraq,2,0,Friendly,2,1,0
222,2019-06-07,Uruguay,Panama,3,0,Friendly,3,1,0
223,2019-06-07,Uzbekistan,North Korea,4,0,Friendly,4,1,0
224,2019-06-07,Malaysia,Timor-Leste,7,1,FIFA World Cup qualification,6,1,0
225,2019-06-08,Estonia,Northern Ireland,1,2,UEFA Euro qualification,-1,0,1
226,2019-06-08,Belarus,Germany,0,2,UEFA Euro qualification,-2,0,1
227,2019-06-08,Croatia,Wales,2,1,UEFA Euro qualification,1,1,0
228,2019-06-08,Azerbaijan,Hungary,1,3,UEFA Euro qualification,-2,0,1
229,2019-06-08,Iceland,Albania,1,0,UEFA Euro qualification,1,1,0
230,2019-06-08,Moldova,Andorra,1,0,UEFA Euro qualification,1,1,0
231,2019-06-08,Turkey,France,2,0,UEFA Euro qualification,2,1,0
232,2019-06-08,Russia,San Marino,9,0,UEFA Euro qualification,9,1,0
233,2019-06-08,Scotland,Cyprus,2,1,UEFA Euro qualification,1,1,0
234,2019-06-08,Belgium,Kazakhstan,3,0,UEFA Euro qualification,3,1,0
235,2019-06-08,Finland,Bosnia and Herzegovina,2,0,UEFA Euro qualification,2,1,0
236,2019-06-08,Armenia,Liechtenstein,3,0,UEFA Euro qualification,3,1,0
237,2019-06-08,Greece,Italy,0,3,UEFA Euro qualification,-3,0,1
238,2019-06-08,Angola,Guinea-Bissau,2,0,Friendly,2,1,0
240,2019-06-08,Singapore,Solomon Islands,4,3,Friendly,1,1,0
241,2019-06-09,Brazil,Honduras,7,0,Friendly,7,1,0
242,2019-06-09,Cameroon,Zambia,2,1,Friendly,1,1,0
244,2019-06-09,Mexico,Ecuador,3,2,Friendly,1,1,0
245,2019-06-09,Paraguay,Guatemala,2,0,Friendly,2,1,0
246,2019-06-09,Peru,Colombia,0,3,Friendly,-3,0,1
248,2019-06-09,United States,Venezuela,0,3,Friendly,-3,0,1
250,2019-06-09,Portugal,Netherlands,1,0,UEFA Nations League,1,1,0
251,2019-06-10,Czech Republic,Montenegro,3,0,UEFA Euro qualification,3,1,0
252,2019-06-10,Bulgaria,Kosovo,2,3,UEFA Euro qualification,-1,0,1
253,2019-06-10,Serbia,Lithuania,4,1,UEFA Euro qualification,3,1,0
254,2019-06-10,Ukraine,Luxembourg,1,0,UEFA Euro qualification,1,1,0
255,2019-06-10,Republic of Ireland,Gibraltar,2,0,UEFA Euro qualification,2,1,0
256,2019-06-10,Denmark,Georgia,5,1,UEFA Euro qualification,4,1,0
257,2019-06-10,Faroe Islands,Norway,0,2,UEFA Euro qualification,-2,0,1
258,2019-06-10,Malta,Romania,0,4,UEFA Euro qualification,-4,0,1
259,2019-06-10,Spain,Sweden,3,0,UEFA Euro qualification,3,1,0
260,2019-06-10,North Macedonia,Austria,1,4,UEFA Euro qualification,-3,0,1
261,2019-06-10,Poland,Israel,4,0,UEFA Euro qualification,4,1,0
262,2019-06-10,Latvia,Slovenia,0,5,UEFA Euro qualification,-5,0,1
264,2019-06-11,Germany,Estonia,8,0,UEFA Euro qualification,8,1,0
265,2019-06-11,Belarus,Northern Ireland,0,1,UEFA Euro qualification,-1,0,1
266,2019-06-11,Azerbaijan,Slovakia,1,5,UEFA Euro qualification,-4,0,1
267,2019-06-11,Hungary,Wales,1,0,UEFA Euro qualification,1,1,0
268,2019-06-11,Iceland,Turkey,2,1,UEFA Euro qualification,1,1,0
269,2019-06-11,Albania,Moldova,2,0,UEFA Euro qualification,2,1,0
270,2019-06-11,Andorra,France,0,4,UEFA Euro qualification,-4,0,1
271,2019-06-11,Kazakhstan,San Marino,4,0,UEFA Euro qualification,4,1,0
272,2019-06-11,Belgium,Scotland,3,0,UEFA Euro qualification,3,1,0
273,2019-06-11,Russia,Cyprus,1,0,UEFA Euro qualification,1,1,0
274,2019-06-11,Italy,Bosnia and Herzegovina,2,1,UEFA Euro qualification,1,1,0
275,2019-06-11,Liechtenstein,Finland,0,2,UEFA Euro qualification,-2,0,1
276,2019-06-11,Greece,Armenia,2,3,UEFA Euro qualification,-1,0,1
277,2019-06-11,Algeria,Burundi,1,1,Friendly,0,0,1
278,2019-06-11,Benin,Guinea,1,0,Friendly,1,1,0
279,2019-06-11,China PR,Tajikistan,1,0,Friendly,1,1,0
280,2019-06-11,Croatia,Tunisia,1,2,Friendly,-1,0,1
281,2019-06-11,Hong Kong,Taiwan,0,2,Friendly,-2,0,1
282,2019-06-11,Jordan,Indonesia,4,1,Friendly,3,1,0
283,2019-06-11,South Korea,Iran,1,1,Friendly,0,0,1
284,2019-06-11,Kyrgyzstan,Palestine,2,2,Friendly,0,0,1
285,2019-06-11,Singapore,Myanmar,1,2,Friendly,-1,0,1
286,2019-06-11,Uzbekistan,Syria,2,0,Friendly,2,1,0
288,2019-06-11,Brunei,Mongolia,2,1,FIFA World Cup qualification,1,1,0
289,2019-06-11,Guam,Bhutan,5,0,FIFA World Cup qualification,5,1,0
290,2019-06-11,Pakistan,Cambodia,1,2,FIFA World Cup qualification,-1,0,1
291,2019-06-11,Sri Lanka,Macau,3,0,FIFA World Cup qualification,3,1,0
292,2019-06-11,Malaysia,Timor-Leste,5,1,FIFA World Cup qualification,4,1,0
293,2019-06-12,Morocco,Gambia,0,1,Friendly,-1,0,1
294,2019-06-12,Ynys Môn,Saint Helena,7,2,Friendly,5,1,0
295,2019-06-13,Egypt,Tanzania,1,0,Friendly,1,1,0
296,2019-06-14,Cameroon,Mali,1,1,Friendly,0,0,1
297,2019-06-14,Madagascar,Mauritania,1,3,Friendly,-2,0,1
298,2019-06-14,Brazil,Bolivia,3,0,Copa América,3,1,0
300,2019-06-15,Argentina,Colombia,0,2,Copa América,-2,0,1
302,2019-06-15,Indonesia,Vanuatu,6,0,Friendly,6,1,0
303,2019-06-15,Ivory Coast,Uganda,0,1,Friendly,-1,0,1
304,2019-06-15,Kenya,DR Congo,1,1,Friendly,0,0,1
305,2019-06-15,Tanzania,Zimbabwe,1,1,Friendly,0,0,1
306,2019-06-16,Paraguay,Qatar,2,2,Copa América,0,0,1
307,2019-06-16,Uruguay,Ecuador,4,0,Copa América,4,1,0
308,2019-06-16,Algeria,Mali,3,2,Friendly,1,1,0
309,2019-06-16,Egypt,Guinea,3,1,Friendly,2,1,0
310,2019-06-16,Morocco,Zambia,2,3,Friendly,-1,0,1
311,2019-06-16,Senegal,Nigeria,1,0,Friendly,1,1,0
312,2019-06-17,Japan,Chile,0,4,Copa América,-4,0,1
313,2019-06-17,Tunisia,Burundi,2,1,Friendly,1,1,0
314,2019-06-18,Bolivia,Peru,1,3,Copa América,-2,0,1
316,2019-06-18,Benin,Mauritania,3,1,Friendly,2,1,0
317,2019-06-19,Colombia,Qatar,1,0,Copa América,1,1,0
318,2019-06-19,Argentina,Paraguay,1,1,Copa América,0,0,1
319,2019-06-19,Ivory Coast,Zambia,4,1,Friendly,3,1,0
320,2019-06-20,Uruguay,Japan,2,2,Copa América,0,0,1
321,2019-06-21,Egypt,Zimbabwe,1,0,African Cup of Nations,1,1,0
322,2019-06-21,Ecuador,Chile,1,2,Copa América,-1,0,1
323,2019-06-22,DR Congo,Uganda,0,2,African Cup of Nations,-2,0,1
324,2019-06-22,Nigeria,Burundi,1,0,African Cup of Nations,1,1,0
325,2019-06-22,Guinea,Madagascar,2,2,African Cup of Nations,0,0,1
326,2019-06-22,Bolivia,Venezuela,1,3,Copa América,-2,0,1
327,2019-06-22,Brazil,Peru,5,0,Copa América,5,1,0
328,2019-06-23,Senegal,Tanzania,2,0,African Cup of Nations,2,1,0
329,2019-06-23,Algeria,Kenya,2,0,African Cup of Nations,2,1,0
330,2019-06-23,Morocco,Namibia,1,0,African Cup of Nations,1,1,0
331,2019-06-23,Colombia,Paraguay,1,0,Copa América,1,1,0
332,2019-06-23,Qatar,Argentina,0,2,Copa América,-2,0,1
333,2019-06-24,Ivory Coast,South Africa,1,0,African Cup of Nations,1,1,0
334,2019-06-24,Tunisia,Angola,1,1,African Cup of Nations,0,0,1
335,2019-06-24,Mali,Mauritania,4,1,African Cup of Nations,3,1,0
336,2019-06-24,Chile,Uruguay,0,1,Copa América,-1,0,1
337,2019-06-24,Ecuador,Japan,1,1,Copa América,0,0,1
338,2019-06-25,Cameroon,Guinea-Bissau,2,0,African Cup of Nations,2,1,0
339,2019-06-25,Ghana,Benin,2,2,African Cup of Nations,0,0,1
340,2019-06-26,Uganda,Zimbabwe,1,1,African Cup of Nations,0,0,1
341,2019-06-26,Egypt,DR Congo,2,0,African Cup of Nations,2,1,0
342,2019-06-26,Nigeria,Guinea,1,0,African Cup of Nations,1,1,0
343,2019-06-27,Madagascar,Burundi,1,0,African Cup of Nations,1,1,0
344,2019-06-27,Senegal,Algeria,0,1,African Cup of Nations,-1,0,1
345,2019-06-27,Kenya,Tanzania,3,2,African Cup of Nations,1,1,0
347,2019-06-28,Morocco,Ivory Coast,1,0,African Cup of Nations,1,1,0
348,2019-06-28,South Africa,Namibia,1,0,African Cup of Nations,1,1,0
349,2019-06-28,Tunisia,Mali,1,1,African Cup of Nations,0,0,1
351,2019-06-28,Venezuela,Argentina,0,2,Copa América,-2,0,1
356,2019-06-30,Egypt,Uganda,2,0,African Cup of Nations,2,1,0
357,2019-06-30,Zimbabwe,DR Congo,0,4,African Cup of Nations,-4,0,1
358,2019-06-30,Burundi,Guinea,0,2,African Cup of Nations,-2,0,1
359,2019-06-30,Madagascar,Nigeria,2,0,African Cup of Nations,2,1,0
360,2019-07-01,Kenya,Senegal,0,3,African Cup of Nations,-3,0,1
361,2019-07-01,Tanzania,Algeria,0,3,African Cup of Nations,-3,0,1
362,2019-07-01,Namibia,Ivory Coast,1,4,African Cup of Nations,-3,0,1
363,2019-07-01,South Africa,Morocco,0,1,African Cup of Nations,-1,0,1
364,2019-07-02,Angola,Mali,0,1,African Cup of Nations,-1,0,1
367,2019-07-02,Guinea-Bissau,Ghana,0,2,African Cup of Nations,-2,0,1
368,2019-07-02,Brazil,Argentina,2,0,Copa América,2,1,0
369,2019-07-03,Chile,Peru,0,3,Copa América,-3,0,1
370,2019-07-05,Morocco,Benin,1,1,African Cup of Nations,0,0,1
371,2019-07-05,Uganda,Senegal,0,1,African Cup of Nations,-1,0,1
372,2019-07-06,Egypt,South Africa,0,1,African Cup of Nations,-1,0,1
373,2019-07-06,Nigeria,Cameroon,3,2,African Cup of Nations,1,1,0
374,2019-07-06,Argentina,Chile,2,1,Copa América,1,1,0
375,2019-07-07,Algeria,Guinea,3,0,African Cup of Nations,3,1,0
376,2019-07-07,Madagascar,DR Congo,2,2,African Cup of Nations,0,0,1
377,2019-07-07,Brazil,Peru,3,1,Copa América,2,1,0
378,2019-07-08,Ghana,Tunisia,1,1,African Cup of Nations,0,0,1
379,2019-07-08,Mali,Ivory Coast,0,1,African Cup of Nations,-1,0,1
380,2019-07-10,Nigeria,South Africa,2,1,African Cup of Nations,1,1,0
381,2019-07-10,Senegal,Benin,1,0,African Cup of Nations,1,1,0
382,2019-07-11,Ivory Coast,Algeria,1,1,African Cup of Nations,0,0,1
383,2019-07-11,Madagascar,Tunisia,0,3,African Cup of Nations,-3,0,1
384,2019-07-14,Algeria,Nigeria,2,1,African Cup of Nations,1,1,0
385,2019-07-14,Senegal,Tunisia,1,0,African Cup of Nations,1,1,0
386,2019-07-17,Tunisia,Nigeria,0,1,African Cup of Nations,-1,0,1
387,2019-07-19,Senegal,Algeria,0,1,African Cup of Nations,-1,0,1
388,2019-07-21,Equatorial Guinea,Liberia,1,1,Friendly,0,0,1
389,2019-08-11,Saint Vincent and the Grenadines,Trinidad and Tobago,1,0,Friendly,1,1,0
